rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/n_updates,train/learning_rate,train/loss
1.48,169,0.9820253333333333,10000,0.67,13481,79,,,
1.51,339,0.9642280000000001,20000,0.82,26829,78,,,
1.34,509,0.9464706666666667,30000,0.45,40147,78,,,
1.26,678,0.9287213333333333,40000,0.3,53459,78,,,
1.27,849,0.9109533333333333,50000,0.33,66785,78,,,
1.28,1035,0.8931119999999999,60000,0.38,80166,77,,,
1.36,1185,0.8752759999999999,70000,0.48,93543,78,,,
1.53,1336,0.8573120000000001,80000,1.07,107016,80,,,
1.36,1486,0.8396600000000001,90000,0.44,120255,80,,,
1.28,1638,0.821928,100000,0.39,133554,81,,,
1.28,1787,0.8040626666666666,110000,0.34,146953,82,,,
1.35,1932,0.7862813333333334,120000,0.49,160289,82,,,
1.41,2081,0.768524,130000,0.55,173607,83,,,
1.3,2231,0.7507093333333335,140000,0.36,186968,83,,,
1.34,2377,0.7329653333333335,150000,0.42,200276,84,,,
1.37,2523,0.7152479999999999,160000,0.44,213564,84,,,
1.39,2673,0.6974226666666667,170000,0.54,226933,84,,,
1.28,2820,0.679584,180000,0.38,240312,85,,,
1.69,3016,0.6601773333333334,190000,1.11,254867,84,1216,0.001,0.42145073413848877
2.18,3378,0.6329720000000001,200000,2.79,275271,81,6317,0.001,0.6811270713806152
2.36,3768,0.6040346666666667,210000,2.95,296974,78,11743,0.001,0.3997786343097687
2.38,4164,0.5736333333333334,220000,3.24,319775,76,17443,0.001,0.2841002643108368
2.52,4585,0.5418613333333333,230000,3.77,343604,74,23400,0.001,0.4464346468448639
2.78,5019,0.5081933333333333,240000,4.85,368855,73,29713,0.001,0.7139402031898499
2.9,5475,0.47154133333333337,250000,5.17,396344,72,36585,0.001,0.7069311738014221
3.08,8260,0.4320386666666667,260000,6.76,425971,51,43992,0.001,0.5428900718688965
3.22,9166,0.3887706666666668,270000,6.53,458422,50,52105,0.001,0.8342844843864441
3.75,13268,0.3388466666666665,280000,7.61,495865,37,61466,0.001,1.27490234375
5.02,13976,0.28248933333333337,290000,19.62,538133,38,72033,0.001,1.668958306312561
6.66,14835,0.21000533333333338,300000,37.87,592496,39,85623,0.001,2.100647449493408
13.15,16076,0.09759999999999991,310000,142.26,676800,42,106699,0.001,2.7094688415527344
36.26,20973,0,320000,644.51,982676,46,183168,0.001,23.953983306884766
36.71,25726,0,330000,664.41,1349693,52,274923,0.001,95.79637145996094
